origin_kind,source_path,organized_path,role,current,source_sha256,current_sha256,change_type,origin_reference,note
SOURCE_ARCHIVE,TODO-0101/analysis/decisions/Project_Integrity_OS_01_Principi_Tracciabilita_Contesto_TODO-0101_v0_2_DRAFT.md,docs/architecture/data-model/current/Project_Integrity_OS_01_Principi_Tracciabilita_Contesto_v0_2_DRAFT.md,GLOBAL_ARCHITECTURE_DECISION_DRAFT,True,78b6b5a5a9dd100ce3f68ead9004c3121d24bab8fa9d68c83008c68effbeb093,9842a92ff39c840825ce22ed1677ebc647ea83ae4bb11465c04ecef96f1c0713,PATH_METADATA_ONLY,TODO-0101.zip,"Decisione nata durante TODO-0101; spostata nella documentazione globale. DRAFT, non ancora schema fisico autorevole."
SOURCE_ARCHIVE,TODO-0101/analysis/decisions/Project_Integrity_OS_02_Modello_Gerarchico_Contesto_TODO-0101_v0_2_DRAFT.md,docs/architecture/data-model/current/Project_Integrity_OS_02_Modello_Gerarchico_Contesto_v0_2_DRAFT.md,GLOBAL_ARCHITECTURE_DECISION_DRAFT,True,84eca709a58628edd3b5c7bb3dea9672359c53215b924c41d5aeb4360a41600c,c9f6d11cfb5d929f20aed4fca4b2daa39c977bef047c41e001a66adbcae705b3,PATH_METADATA_ONLY,TODO-0101.zip,"Decisione nata durante TODO-0101; spostata nella documentazione globale. DRAFT, non ancora schema fisico autorevole."
SOURCE_ARCHIVE,TODO-0101/analysis/decisions/Project_Integrity_OS_03_Context_Package_TODO-0101_v0_2_DRAFT.md,docs/architecture/data-model/current/Project_Integrity_OS_03_Context_Package_v0_2_DRAFT.md,GLOBAL_ARCHITECTURE_DECISION_DRAFT,True,4fa784f5a6efe5945ea5eb92433dce4d1058d3b377573cfa5f4930554351da45,01637b1be938d914e23a00e15724f8eb311ef045384953cf7b9e8921ff37f757,PATH_METADATA_ONLY,TODO-0101.zip,"Decisione nata durante TODO-0101; spostata nella documentazione globale. DRAFT, non ancora schema fisico autorevole."
SOURCE_ARCHIVE,TODO-0101/analysis/decisions/Project_Integrity_OS_04_Provenienza_Informazioni_TODO-0101_v0_2_DRAFT.md,docs/architecture/data-model/current/Project_Integrity_OS_04_Provenienza_Informazioni_v0_2_DRAFT.md,GLOBAL_ARCHITECTURE_DECISION_DRAFT,True,98cd1e0f6411fe4c362c74bfe5fc4b070ea934e43a85660a437390b0646dd359,9c7e5bd24d5c10258685d1788584d2690ccc9f3de2d8935148fea2c781b01a52,PATH_METADATA_ONLY,TODO-0101.zip,"Decisione nata durante TODO-0101; spostata nella documentazione globale. DRAFT, non ancora schema fisico autorevole."
SOURCE_ARCHIVE,TODO-0101/analysis/decisions/Project_Integrity_OS_05_Sintesi_Drill_Down_TODO-0101_v0_2_DRAFT.md,docs/architecture/data-model/current/Project_Integrity_OS_05_Sintesi_Drill_Down_v0_2_DRAFT.md,GLOBAL_ARCHITECTURE_DECISION_DRAFT,True,56d488f6bbdb45e305bb36099f342451510a902cc0c0e3562009e5400838e822,e474dccc73150efb9bef81575ad1b0213601082b2faa776e3ac97b95f4a07f8e,PATH_METADATA_ONLY,TODO-0101.zip,"Decisione nata durante TODO-0101; spostata nella documentazione globale. DRAFT, non ancora schema fisico autorevole."
SOURCE_ARCHIVE,TODO-0101/analysis/decisions/Project_Integrity_OS_06_Requisiti_Test_Tracciabilita_TODO-0101_v0_2_DRAFT.md,docs/architecture/data-model/current/Project_Integrity_OS_06_Requisiti_Test_Tracciabilita_v0_2_DRAFT.md,GLOBAL_ARCHITECTURE_DECISION_DRAFT,True,19b466ba0a9b85d2a8a9b17f25de266f40abef4941b8d8d6f29d2d96b56b9cb1,d12a152dc9ff21002bbc66c0177600d0e207fb0f7453583671dd8682e8c3d2ed,PATH_METADATA_ONLY,TODO-0101.zip,"Decisione nata durante TODO-0101; spostata nella documentazione globale. DRAFT, non ancora schema fisico autorevole."
SOURCE_ARCHIVE,TODO-0101/analysis/decisions/Project_Integrity_OS_07_Lifecycle_Decisioni_TODO-0101_v0_2_DRAFT.md,docs/architecture/data-model/current/Project_Integrity_OS_07_Lifecycle_Decisioni_v0_2_DRAFT.md,GLOBAL_ARCHITECTURE_DECISION_DRAFT,True,9d74e908af9050a52d96d0fefc747f6e738441017d1d064c56b92ce58dbdcf9f,ed5071b099977a54cfbff8eaecb3c61a69becaa8fb24838772bf75984b92a04e,PATH_METADATA_ONLY,TODO-0101.zip,"Decisione nata durante TODO-0101; spostata nella documentazione globale. DRAFT, non ancora schema fisico autorevole."
SOURCE_ARCHIVE,TODO-0101/analysis/decisions/Project_Integrity_OS_08_Registro_Elementi_Irrisolti_TODO-0101_v0_3_DRAFT.md,docs/architecture/data-model/current/Project_Integrity_OS_08_Registro_Elementi_Irrisolti_v0_3_DRAFT.md,GLOBAL_ARCHITECTURE_DECISION_DRAFT,True,702082ed8caafa30c185709be440dc2827ca1432fd86aa81fb1586090e83f531,c184afcf2bff5a21464539f6dc0be0cc9260741e37b3352938504dc961ec67c7,PATH_METADATA_ONLY,TODO-0101.zip,"Decisione nata durante TODO-0101; spostata nella documentazione globale. DRAFT, non ancora schema fisico autorevole."
SOURCE_ARCHIVE,TODO-0101/analysis/decisions/Project_Integrity_OS_09_Eventi_Ricostruzione_Temporale_TODO-0101_v0_2_DRAFT.md,docs/architecture/data-model/current/Project_Integrity_OS_09_Eventi_Ricostruzione_Temporale_v0_2_DRAFT.md,GLOBAL_ARCHITECTURE_DECISION_DRAFT,True,e04a7732e55f81e8031011a2686a552cc1445e6cd08ee8d71aba8ad4e682f6b9,9d737059e2dc194a40d9610bb465133870c1fbb32b88f01c934bcbc7065ab58f,PATH_METADATA_ONLY,TODO-0101.zip,"Decisione nata durante TODO-0101; spostata nella documentazione globale. DRAFT, non ancora schema fisico autorevole."
SOURCE_ARCHIVE,TODO-0101/analysis/decisions/Project_Integrity_OS_10_Integrita_Trasversale_Anti_Orfano_TODO-0101_v0_3_DRAFT.md,docs/architecture/data-model/current/Project_Integrity_OS_10_Integrita_Trasversale_Anti_Orfano_v0_3_DRAFT.md,GLOBAL_ARCHITECTURE_DECISION_DRAFT,True,0933d064a900ec7a0232b4db8c04777c646a69d85c2a0cebc0d6dca217d5a650,2c70b63ef8b6304891aec7d67bfebfdfbe86866f289b02cc7cb19288ceed7352,PATH_METADATA_ONLY,TODO-0101.zip,"Decisione nata durante TODO-0101; spostata nella documentazione globale. DRAFT, non ancora schema fisico autorevole."
